task	source	passed	total	success_rate	turns	agent_seconds	cmd_exit	timed_out
pythonprojecttemplate	orig	36	36	1.0	58	260.4	[0, 0]	False
decouple	orig	60	67	0.895522	47	144.1	[0, 1]	False
coverage_shield	orig	9	11	0.818182	58	292.4	[0, 1]	False
retrying	orig	17	23	0.73913	78	439.9	[0, 1]	False
unittest-parametrize	orig	17	26	0.653846	57	439.4	[0, 1]	False
fuzzywuzzy	orig	39	71	0.549296	56	593.9	[0, 1]	False
google-images-download	orig	16	30	0.533333	54	307.5	[0, 1]	False
sklearn	orig	37	70	0.528571	75	306.8	[0, 1]	False
justext	orig	32	61	0.52459	58	552.2	[0, 1]	False
ipytest	rerun	36	74	0.486486	63	317.1	[0, 1]	False
arxiv-mcp-server	orig	11	23	0.478261	42	347.1	[0, 1]	False
math-verify	orig	89	192	0.463542	50	604.7	[0, 1]	False
autorccar	orig	6	13	0.461538	53	271.0	[1, 1]	False
pytestify	orig	52	122	0.42623	72	286.2	[0, 1]	False
pandarallel	orig	77	217	0.354839	70	158.9	[0, 1]	False
sortedcontainers	rerun	104	296	0.351351	80	806.8	[0, 1]	False
unidecode	orig	20	65	0.307692	55	373.8	[0, 1]	False
trimming	orig	3	10	0.3	41	225.5	[0, 1]	False
jsonlines	orig	8	27	0.296296	55	615.2	[0, 1]	False
python-fsutil	orig	45	153	0.294118	56	415.1	[0, 1]	False
pathlib2	orig	96	344	0.27907	75	201.0	[0, 1]	False
humanize	orig	169	607	0.278418	58	666.6	[0, 1]	False
pyjwt	orig	71	299	0.237458	61	254.5	[0, 1]	False
uiautomator	orig	22	101	0.217822	75	233.5	[0, 1]	False
xlrd	orig	18	84	0.214286	76	185.5	[0, 1]	False
pyquery	orig	15	74	0.202703	78	339.1	[0, 1]	False
bleach	orig	86	448	0.191964	66	139.7	[0, 1]	False
mechanicalsoup	orig	23	121	0.190083	77	462.6	[1, 1]	False
asteval	orig	42	227	0.185022	70	429.3	[0, 0, 1]	False
wsgidav	rerun	6	36	0.166667	73	443.2	[0, 1]	False
dictdatabase	rerun	98	594	0.164983	63	383.7	[0, 1]	False
cherry	orig	5	34	0.147059	77	339.0	[0, 1]	False
parse	orig	14	96	0.145833	39	335.4	[0, 1]	False
cookiecutter	orig	53	381	0.139108	53	377.1	[0, 1]	False
records	orig	4	31	0.129032	77	181.5	[0, 1]	False
python-dotenv	orig	24	209	0.114833	77	265.5	[0, 1]	False
funcy	orig	23	203	0.1133	82	682.9	[0, 1]	False
schedule-master	orig	9	81	0.111111	55	289.4	[1]	False
tinydb	orig	21	204	0.102941	67	254.7	[0, 1]	False
box	orig	15	147	0.102041	77	213.8	[1, 1]	False
