                               Evaluation Summary                               
 Instance                            Score  Comment                             
 abishekvashok__cmatrix.5c082c6          0  ERROR: compile_failed               
 agourlay__zip-password-finder.704…      0  ERROR: compile_failed               
 ajeetdsouza__zoxide.67ca1bc             0  ERROR: compile_failed               
 alecthomas__chroma.8d04def              0  ERROR: compile_failed               
 alexpovel__srgn.89f943b                 0  ERROR: compile_failed               
 altdesktop__i3-style.f93821b            0  ERROR: compile_failed               
 ammarabouzor__tui-journal.2b4540d       0  ERROR: compile_failed               
 anordal__shellharden.6a6ffd4            0  ERROR: compile_failed               
 antonmedv__fx.86d0d34                   0  ERROR: compile_failed               
 antonmedv__walk.bf802ef                 0  ERROR: compile_failed               
 ariga__atlas.6d81150                    0  ERROR: compile_failed               
 arq5x__bedtools2.dd57059                0  ERROR: compile_failed               
 arthursonzogni__json-tui.17a22b6        0  ERROR: compile_failed               
 ast-grep__ast-grep.dde0fe0              0  ERROR: compile_failed               
 astaxie__bat.17d1080                    0  ERROR: compile_failed               
 astro__deadnix.d590041                  0  ERROR: compile_failed               
 axodotdev__oranda.27d60c7               0  ERROR: compile_failed               
 bellard__quickjs.d7ae12a                0  ERROR: compile_failed               
 bensadeh__tailspin.6278437              0  ERROR: compile_failed               
 blacknon__hwatch.edfcb62                0  ERROR: compile_failed               
 blake3-team__blake3.15e83a5             0  ERROR: compile_failed               
 bootandy__dust.62bf1e1                  0  ERROR: compile_failed               
 boyter__scc.515f91c                     0  ERROR: compile_failed               
 brocode__fblog.3b54330                  0  ERROR: compile_failed               
 burntsushi__ripgrep.3b7fd44             0  ERROR: compile_failed               
 burntsushi__xsv.f430466                 6  ERRORS: BRANCH: 22169f6a3746:       
                                            results_read_failed; WARN: 1        
 byron__dua-cli.8570c15                  0  ERROR: compile_failed               
 canop__broot.d6c798e                    0  ERROR: compile_failed               
 canop__rhit.ae90bcb                     0  ERROR: compile_failed               
 cheat__cheat.b8098dc                    0  ERROR: compile_failed               
 chirlu__sox.42b3557                     0  ERROR: compile_failed               
 chmln__handlr.90e78ba                   0  ERROR: compile_failed               
 chmln__sd.87d1ba5                       0  ERROR: compile_failed               
 clog-tool__clog-cli.7066cba             0  ERROR: compile_failed               
 cmatsuoka__figlet.202a0a8               0  ERROR: compile_failed               
 codesnap-rs__codesnap.f81e4f3           0  ERROR: compile_failed               
 cordx56__rustowl.655bc5c                0  ERROR: compile_failed               
 crowdagger__crowbook.ea214d7            0  ERROR: copy_executable_failed       
 cslarsen__jp2a.61d205f                  0  ERROR: compile_failed               
 cweill__gotests.2a672c5                 0  ERROR: compile_failed               
 dalance__amber.69a0f52                  0  ERROR: compile_failed               
 dandavison__delta.acd758f               0  ERROR: compile_failed               
 danmar__cppcheck.0a5b103                0  ERROR: compile_failed               
 direnv__direnv.02040c7                  0  ERROR: compile_failed               
 doxygen__doxygen.966d98e                0  ERROR: compile_failed               
 drew-alleman__datasurgeon.d257cee       0  ERROR: compile_failed               
 ducaale__xh.4a6e44f                     0  ERROR: compile_failed               
 duckdb__duckdb.bdb65ec                  0  ERROR: compile_failed               
 dundee__gdu.ede21d2                     0  ERROR: compile_failed               
 ecumene__rust-sloth.051c559             0  ERROR: compile_failed               
 ekzhang__bore.8e059cd                   0  ERROR: compile_failed               
 eliukblau__pixterm.1a93fd5              0  ERROR: compile_failed               
 elkowar__pipr.fae0b17                   0  ERROR: compile_failed               
 epistates__treemd.825c6dd               0  ERROR: compile_failed               
 eradman__entr.8e2e8b4                   0  ERROR: compile_failed               
 esubaalew__run.0fb9dec                  0  ERROR: compile_failed               
 eudoxia0__hashcards.48aa136             0  ERROR: compile_failed               
 facebook__zstd.1168da0                  0  ERROR: compile_failed               
 facebookresearch__fasttext.1142dc4      0  ERROR: copy_executable_failed       
 ffmpeg__ffmpeg.360a402                  0  ERROR: compile_failed               
 filosottile__age.706dfc1                0  ERROR: compile_failed               
 foriequal0__git-trim.07c2f50            0  ERROR: compile_failed               
 gabotechs__dep-tree.60a95a2             0  ERROR: compile_failed               
 ggreer__the_silver_searcher.a61f1…      0  ERROR: compile_failed               
